,options_a,options_b,options_c,options_d,year,answer,Explanation,shortQuestion,QuestionHeader
123,and switch on the lights,I entered my room,but it was,still dark,SSC Constable GD-22/11/2021 Shift-II,a,Ans. (a) :  In the above sentence 'Switched on' will be used in place of 'Switch on' because it  is clear f rom the use of 'entered was' in the sentence that the sente nce in the past tesne. Hence Simple past verb (2nd form) will be used.  Correct Sentence– I entered my room and switched on  the lights but it was still dark.,I entered my room / and switch on the lights / but it was / still dark,The following sentence has been split into four segments Identify the segment that contains a grammatical error.
124,who stole,the painting,from the museum,Who do you think,SSC Constable GD-18/11/2021 Shift-I,a,Ans. (a) :  In the above sentence 'Who has stolen' will be used in place of 'who stole' because it is clear fr om the use of 'do' that if first clause is in present tens e then second clause also be in present tense.  Correct Sentence– Who do you think who has stolen  the painting from the museum.,Who do you think / who stole / the painting / from the museum?,The following sentence has been split into fou r segments Identify the segment that contains a grammatical error.
125,there all,her life,Mona is from Paris,she has live,SSC Constable GD-14/12/2021 Shift-III,d,Ans. (d) :  In the above sentence 'She has lived' will be used in place of 'She has live' because verb 3 will be used after 'has'.  Correct sentence– Mona is from Paris she has lived  there all her life,/ She has live / there all / her life,The following sentence has been split into fo ur segments Identify the segment that contains a grammatical error Mona is from Paris.
126,caused much damage,Fortunately,to the building,the fire did not,SSC Constable GD-14/12/2021 Shift-II,a,Ans. (a) :  In the above sentence 'Cause' will be used in place of Caused' because base form of verb (VI) is used after helping verb do/does/did.  Correct Sentence- Fortunately the fire did not cause  much damage to the building.,Fortunately / the fire did not / caused much damage / to the building,The following sentence has been split into fou r segments Identify the segment that contains a grammatical error.
127,has completed,completed,will have completed,No substitution required,SSC Constable GD-10/12/2021 Shift-III,b,"Ans. (b) :  In the above sentence 'Completed' will be used in the place of 'have completed' because The u se of ""two hours ago"" makes it clear that the sense of th e sentence is in past tense. So the verb of past Inde finite tense 'Verb 2'  will be used.   Correct sentence– I completed  the work two hours ago.",I have completed the work two hours ago,"Select the most appropriate option that can substitute the underlined segment in the given sentence If there is an need to substitute it, 'No substitution required'."
128,I am thinking,by everyone,your idea will be,really appreciated,SSC Constable GD-07/12/2021 Shift-IISpotting Error 28 YCT,a,"Ans. (a) :  In the above sentence 'I think' will be used in place of 'I am thinking' because as a verb 'think' is not used in continuous tense.  Note  :– Some verb like think, feel, believe not used in  progressive sense or continuous tense.  Correct sentence– I think  your idea will be really appreciated by everyone.",I am thinking / your idea will be / really appreciated / by everyone,The following sentence has been split into four segments Identify the segment that contains a grammatical error.
129,highlighting,repeatedly,the mysterious death,of the film actor,SSC Constable GD-06/12/2021 Shift-III,a,"Ans. (a) :  In the above sentence 'highlighted' will be used in place of 'highlighting' because News report er is telling the incident of 'Past', So V2 (Highlighted) will be used.  Correct sentence– The news reporter highlighted  the mysterious death of the film actor repeatedly.",The news reporter highlighting the mysterious death of the film actor repeatedly,Parts of the given sentence have been given as options One of them contains a grammatical error Select the option that has the error.
130,in India known,most children,languages do,How many,SSC Constable GD-03/12/2021 Shift-II,a,Ans. (a) :  In the above sentence 'Know' will be used in place of 'known' because the use of 'do' makes it c lear that the sentence is in Present Indefinite. Hence ' Verb Ist' (VI) will be used.  Correct Sentence  How many languages do most children in India Know ?,How many / languages do / most children / in India known?,"The following sentence has been split into four segments, Identify the segment that contains a grammatical error."
131,God is great,and we could,he hs bestowed on us,be grateful to him for all the gifts,SSC Constable GD-01/12/2021 Shift-I,b,"Ans. (b) :  In the above sentence 'and we must' will be used in place of 'and we could' because can/could (modal) is used to express a possibility, while 'mu st' (modal) is used to express an obligation to do something.  Correct sentence– God is great and we must  be grateful to him for all the gifts he has bestowed on us.",God is great/and we could/be grateful to him for all the gifts/he has bestowed on us,The following sentence has been split into four segments Identify the segment that contains a grammatical error.
132,homes and bridges,knocking down,winds of upto,swept away roads,SSC CGL (Tier-I) – 04/06/2019 (Shift-III),b,"Ans. (b) :  In the above sentence 'Knocked down' will be used in place of 'knocking down' because simple past tense is used in the sentence according to the  sense of the sentence.  Correct Sentence- Torrential rains and wind of upto 170 km per hour swept away roads, homes and bridges and knocked  down power and communication lines.","Torrential rains and winds of upto 170 km per hour swept away roads, homes and bridges and knocking down power and communication lines",In the sentence identify the segment which contains the grammatical error.
133,Ranbir could not went,for a film,to the award ceremony,as he was busy,SSC CGL (Tier-I) –20/08/2021 (Shift-I),a,Ans. (a) :  In the above sentence 'Ranbir Could not go' will be used in place of 'Ranbir could not went' be cause original form (Verb 1) comes after model (could). Correct Sentence-  Ranbir could not go  to the award ceremony as he was busy shooting for a film in Maldives.,Ranbir could not went/ to the award ceremony/ as he was busy/shooting/for a film/in Maldives,The following sentence has been divided into parts One of them contains an error Select the part that contains the error from the given options.
134,vexed travellers,The tired and,waiting at the airport,for a long time,SSC CGL (Tier-II) 16/11/2020 (3 pm - 5 pm),c,Ans. (c) :  In the above sentence 'have been waiting' will be used in place of 'waiting' because the use of 'for a long time' makes. It clear that the sentence is i n present perfect continuous tense. Hence verb (has/h ave + verb + ing) will be used.  Correct sentence-  The tired and vexed travellers have been  waiting at the airport for a long time.,The tired and vexed travellers waiting at the airport for a long time,Identify the segment in the sentence which contains a grammatical error.
135,are made to,safeguarding our rights,Laws and rules,and protect us,SSC CGL (Tier-II) 16/11/2020 (3 pm - 5 pm),b,Ans. (b) :  In the above sentence 'to safeguard' will be used in place of 'to safeguarding' because as a infinitive (to+V 1) will be used as a noun.  Correct sentence-  Laws and rules are made to safeguard  our rights and protect us.,Laws and rules are made to safeguarding our rights and protect us,Identify the segment in the sentence which contains a grammatical error.
136,in a hurry,She forgot lock,the door when,she went out,SSC CGL (Tier-I) – 07/06/2019 (Shift-I)Spotting Error 29 YCT,b,"Ans: (b) The use of 'forget to' would be appropriate Because when two verbs (forgot, Lock) are used side  by side in a sentence, then the noun from the later ve rb (infinitive) (to + VI) to will be used.  Correct sentence -  She forgot to lock  the door when she went out in a hurry.",She forgot lock the door when she went out in a hurry,In the sentence identify the segment which contains the grammatical error.
137,you had gone,to Goa,I didn't knew,for a vacation,SSC CGL (Tier-II) 16/11/2020 (3 pm - 5 pm),c,Ans. (c) :  In the above sentence 'know' will be used in place of 'knew' (V 2) because (V1) will be used after helping verb do/did/does.  Correct sentence-  I didn't know  you had gone to Goa for a vacation.,I didn't knew you had gone to Goa for a vacation,Identify the segment in the sentence which contains a grammatical error.
138,are placed,you were look for,The files,on the table,SSC CPO-SI (Tier-II) 27/09/2019 (3 pm - 5 pm),b,Ans. (b) : In the above sentence 'Looking for' will be used in place of 'Look for' because sentence is in past continuous tense.  was/were + verb 1+ing Correct sentence-  The files you were looking for  are placed on the table.,The files you were look for are placed on the table,"Identify the segment in the sentence, which contains the grammatical error."
139,and feed the animals,it is forbidden,in the zoo,You had better not to try,SSC CHSL (Tier-I) 14/10/2020 (Shift-III),d,"Ans. (d) :  In the above sentence 'try' will be used in place of 'to try' because infinitive 'to' is not us ed after 'had better'.  Note - Needn't, dare not, would rather, rather than, had better etc. bare infinitive (verb without to). Correct sentence :  You had better not try  and feed the animals in the zoo, it is forbidden.","You had better not to try and feed the animals in the zoo, it is forbidden",Identify the segment in the given sentence which contains the grammatical error.
140,We noticed that,most of the shoppers,packets of ready to cook food,in the mall looking for,SSC CHSL (Tier-I) 13/10/2020 (Shift-III),d,Ans. (d) In the above sentence 'in the mall were Looking for' will be used in place of 'in the mall looking for' because sub-ordinate clause is in past continu ous tense. Which subject 'shoppers' is plural. Hence pl ural helping verb 'were' will be used.  Correct Sentence :-  We noticed that most of the shoppers in the mall we re looking for packets of ready to cook food.,We noticed that most of the shoppers in the mall looking for packets of ready to cook food,Identify the segment in the given sentence which contains the grammatical error.
141,No error,The sun,yesterday morning,rises at 6:35,SSC CPO-SI – 23/11/2020 (Shift-I),d,"Ans. (d) :  In the above sentence ""rose at 6:35"" will be used in place of ""rises at 6:35"" because it is clea r from the use of yesterday, the sentence is in past Indef inite tense. Hence second form (V 2) of verb will be used.   Correct sentence  :- The sun rose  at 6:35 a.m. yesterday morning.",The sun rises at 6:35 yesterday morning,"Identify the segment in the sentence which contains a grammatical error If there is no error, then select the option 'No error'."
142,1,2,3,4,SSC CGL (Phase-II) 17/02/2018,a,"Ans. (a) In the above sentence 'explain' will be used in place of 'Explains'. because ""Verb 1"" is used after will in future Indefinite tense. Correct Sentence- 'This will explain  the decision taken to impose ......",(4),"In the following, some part of the sentence may have errors Find out which part of the sentence has an error and select the appropriate option If a sentence is free from error, select No Error This will explains the decision taken (1)/to impose a blockade on the country in (2)/ the midst of a crisis (3)/ No error."
143,1,2,3,4,SSC CGL (Phase-II) 17/02/2018,b,"Ans. (b) In the above sentence 'have' will be used as an auxiliary verb, So the verb coming after it will be  in third form of verb (V3). Hence ""Researched"" will be used in place of ""research.""   Correct Sentence -  Many firms fail because when they begin exporting, they have not researched  the....","Many firms fail because when they begin (1)/exporting, they have not research the (2)/ target Markets or have not planned enough(3)/No error(4)","In the following, some part of the sentence may have errors Find out which part of the sentence has an error and select the appropriate option If a sentence is free from error, select No Error"
144,Is allowed,Nobody,During the lockdown,To entered,SSC Sel. Post Phase-VIII (H.L.) 09.11.2020 (Shift-I ),d,Ans. (d) :  In the above sentence 'to enter' will be used in place of 'to entered' because verb (V 1) is used after infinitive 'to'.  Correct Sentence:-   Nobody is allowed to enter  the colony during the lockdown.Spotting Error 30 YCT,Identify the segment in the sentence which contains the grammatical error Nobody is allowed to entered the colony during the lockdown,.
145,1,2,3,4,SSC CGL (Phase-II) 17/02/2018,c,"Ans. (c) The main clause of the above sentence is in present tense, therefore, the sub-ordinate clause w ill also be in present tense. Hence 'are' will be used in place of 'were'. Correct sentence-  As with people, some monkeys are lazy, like those w ho sleep all day in the zoo, and some are  industrious.","As with people, some monkeys are lazy, (1)/like those who sleep all day in the zoo, (2)/and some were industrious(3)/ No error (4)","In the following, some part of the sentence may have errors Find out which part of the sentence has an error and select the appropriate option If a sentence is free from error, select No Error"
146,1,2,4,4,SSC CGL (Phase-II) 17/02/2018,b,"Ans. (b) In the given sentence 'end' will be used in place of 'Ending', because according to the structure of the sentence, article 'the' is not used before the geru nd. (V+ing) (in the End).  Correct sentence-  No matter......years, in the end  he proued to be uncommonly…","No matter what Ashoka did in his earlier (1)/ years, in the ending he proved to be uncommonly (2)/ virtuous and wise(3)/ No error (4)","In the following, some part of the sentence may have errors Find out which part of the sentence has an error and select the appropriate option If a sentence is free from error, select No Error"
147,on the shelf,she picked up,put them,lie on the table,SSC CPO-SI – 25/11/2020 (Shift-I),d,"Ans. (d) :  In the above sentence 'lay on' will be used in place of 'Lie on' because the sentence is in Past Indefinite. and verb 2 ""Lay"" is used in this tense. Ist IInd IIIrdlie lay lainv form v form v form⇒ ⇒↓ ↓ ↓   Correct sentence -  She picked up the books lay  on the table and put them on the shelf.",She picked up the books lie on the table and put them on the shelf,Identify the segment in the sentence which contains a grammatical error.
148,the proposals,seem very interesting,received by us,one of,SSC CPO-SI – 24/11/2020 (Shift-I),b,Ans. (b) :  In the above sentence 'seemed' will be used in place of 'seem' as a past participle because the  sentence in in past tense.  Correct sentence -  One of the proposals received by us seemed  very interesting.,One of the proposals received by us seem very interesting,Identify the segment in the sentence which contains a grammatical error.
149,I was,sorry to,of his misfortune,be hearing,SSC CPO-SI – 24/11/2020 (Shift-I),d,"Ans. (d) :  In the above sentence 'hear' will be used in place of 'be hearing' because according to sense of  the sentence, Noun is needed here and (to + vI) infinitive works as noun.  Note— Usually 'Sorry' is followed by infinitive (to+vI)  Correct sentence :  I was sorry to hear of his misfortune.",I was sorry to be hearing of his misfortune,Identify the segment in the sentence which contains a grammatical error.
150,a strange,noise now,No error,I am hearing,SSC CPO-SI – 23/11/2020 (Shift-I),d,"Ans. (d) :  In the above sentence 'hear' will be used in place of 'am hearing' because it is clear from the used of 'now' that the sentence is in Present Indefinite  tense. Hence the verb 'hear' (verb 1) will be used, because the subject of the sentence is I.  Correct sentence-  I hear  a strange noise now.",I am hearing a strange noise now,"Identify the segment in the sentence which contains a grammatical error If there is no error, then select the option 'No error'."
151,before he replied,a little time,Sam took,to thought,SSC CPO-SI – 24/11/2020 (Shift-II),d,Ans. (d) :  In the above sentence 'to think' will be used in place of 'to thought'  because to + V 1 (infinitive) is used.   Note  :– 1st form of verb is used to make infinitive which works as a 'noun'.  Correct sentence-  Sam took a little time to think  before he replied.,Sam took a little time to thought before he replied,Identify the segment in the sentence which contains a grammatical error.
152,The two,trains gave,of been stationary,the illusion,SSC CPO-SI – 24/11/2020 (Shift-II),c,Ans. (c) :  In the above sentence 'of being stationary' will be used in place of 'of been stationary' becau se Gerund (V 1 + ing) is used after the preposition.       Correct Sentence-  The two trains gave the illusion of being  stationary.,The two trains gave the illusion of been stationary,Identify the segment in the sentence which contains a grammatical error.
153,vast areas of land have been flooded,roads destroyed,Due to the cyclone Idai,and communications disrupting,SSC CGL (Tier-I) – 04/06/2019 (Shift-II),d,"Ans: (d) In the above sentence 'Disrupted' will be used in place of 'Disrupting' because when two clause connected with 'and' then both clause will be in sa me tense. Since 'roads destroyed' is in past form so communication disrupting also in past form.  Correct Sentence-  Due to the cyclone Idai vast areas of land have bee n flooded, roads destroyed and communications disrupt ed in Zimbabwe and Mosambique.","Due to the cyclone Idai vast areas of land have been flooded, roads destroyed and communications disrupting in Zimbabwe and Mosambique",In the sentence identify the segment which contains the grammatical error.
154,You may left,completed the best,the class,when you have,SSC CGL (Tier-I) – 13/06/2019 (Shift-II),a,Ans. (a) :  In the above sentence 'leave' will be used in place of 'left' because after modal verb (may) firs t from of the verb is used.  Correct sentence-  You may leave  the class when you have completed the test.,You may left the class when you have completed the test,In the sentences identity the segment which contains the grammatical error.
155,while jogging or brisk walking,picking up trash,'Plogging' is an international trend,in which someone,SSC CPO-SI – 09/12/2019 (Shift-I),b,"Ans: (b) In the above sentence 'Picks up trash' will be used in place of 'picking up trash' because accordi ng to the meaning of the sentence regular activity is bei ng understood, thereafter the sentence is in simple pr esent will be used.  Correct sentence :-  'Plogging' is an international trend, in which some one picks up trash  while jogging or brisk walking.","'Plogging' is an international trend, in which someone picking up trash while jogging or brisk walking",In the sentence identify the segment which contains the grammatical error.
156,to buy,Need you,so many books,No error,SSC CPO-SI – 11/12/2019 (Shift-II),a,Ans: (a) In the given sentence 'buy' will be used in place of 'to buy' because in the given sentence sem i-modal 'Need' is used as a helping verb at the begin ning of sentence. The sentence is yes/No answer type question Its structure be as follows.  Helping verb subject verb other words + + +  Since 'to + buy' is used as a noun in the form of infinitive whereas here verb is required.  Correct sentence -   Need you buy  so many books?,"Identify the segment that contains a grammatical errorIf there is no error, select 'No error' Need you to buy so many books?",
157,to swim,Anita enjoyed,in the sea,No error,SSC CPO-SI – 11/12/2019 (Shift-I),a,"Ans: (a) In the above sentence 'Swimming' will be used in place of ' to swim' because gerund (verb 1 + ing) is used after verb enjoy.  Note- Admit, avoid, delay, deny, detest, enjoy, exc use, finish, forgive, mind, prevent, keep, resent, it is  no use, it is no good, can't help, can't stand etc. always followed by v+ing form.  Correct sentence :-  Anita enjoyed swimming  in the sea.","Identify the segment in the sentence which contains the grammatical errorIf there is no error, select 'No error' Anita enjoyed to swim in the sea",
158,No error,his new car,anyone to drive,He wouldn't let,SSC CPO-SI – 12/12/2019 (Shift-I),c,"Ans: (c) In the above sentence 'anyone drive' will be used in place of 'anyone to drive' because after ac t, bid, watch, behold, see, make, feel bare infinitive (VI) is used, in active voice but if it is in passive, then –infi nitive (to + VI) is used and the sentence is in active voice. Correct sentence :-  He wouldn't let anyone drive  his new car.",He wouldn't let anyone to drive his new car,"Identify the segment in the sentence which contains the grammatical error If there is no error, select 'No error'."
159,from work,your own transport,Are you having,to go home,SSC CPO-SI – 13/12/2019 (Shift-II),c,"Ans. (c) :  In the above sentence 'do you have' will be used in place of 'Are you having' because in interrogative sentence, when the subject gives sens e of possession then According to grammar rule 'Do + Plural Subject + have + object + etc' is used.    Correct sentence :-    Do you have  your own transport to go home from work?",Are you having your own transport to go home from work?,In the sentence identify the segment which contains the grammatical error.
160,has been lives,her childhood days,My grandmother,in Shimla since,SSC CHSL (Tier-I) –10/07/2019 (Shift-III),a,Ans: (a) In the above sentence 'Living' will be used in place of 'Lives' because it is clear from the use o f helping verb 'has been' and since/for that the sent ence is in Present Perfect continuous. The structure of thi s tense is as follows.  Subject + has/have + been + verb + ing + since/for + time            Correct sentence-  My grandmother has been living  in Shimla since her childhood. Spotting Error 32 YCT,My grandmother has been lives in Shimla since her childhood days,"Identify the segment in the sentence, which contains the grammatical error."
161,in the distance,to Ramgarh we see,the snow-capped mountains,when we went,SSC CHSL (Tier-I) –09/07/2019 (Shift-II),b,Ans: (b) In the above sentence 'Saw' will be used in place of 'See' because it is clear from the use of went (V2) that the sentence is in Past Indefinite. So the second verb also be in 2nd form.   Correct sentence-  When we went to Ramgarh we saw  the snow-capped mountains in the distance.,When we went to Ramgarh we see the snow-capped mountains in the distance,Identify the segment in the sentence which contains the grammatical error.
162,It was a,rapidly from trees,leaves were fallen,windy autumn day,SSC CHSL (Tier-I) –05/07/2019 (Shift-III),c,Ans: (c) In the above sentence 'Leaves were falling' will be used in place of 'Leaves were fallen' since  was/were' is the helping verb of Past continuous. A fter which 'ing' is added to the main verb. Although ver b IIIrd form can be used after was/were but the sentence should in Passive form.  Correct sentence-  It was a windy autumn day and leaves were falling  rapidly from the trees.,It was windy autumn day and leaves were fallen rapidly from the trees,Identify the segment which contains the grammatical error.
163,the accident victim,have arrived on time,The ambulance,was taken to the hospital,SSC CHSL (Tier-I) –04/07/2019 (Shift-III),b,"Ans: (b) In the above sentence 'had arrived on time' will be used in place of 'have arrived on time' bec ause it is clear that the second clause is in past tense. S o, the other clause will also be in past tense. and helpin g verb of past perfect tense 'had' will be used. Correct sentence :-  The ambulance had arrived on  time, the accident victim was taken to the hospital.","The ambulance have arrived on time, the accident victim was taken to the hospital",Identify the segment which contains the grammatical error.
164,to the National highway,The Public Works Department has propose,which will run parallel,to construct an elevated corridor,SSC CHSL (Tier-I) –02/07/2019 (Shift-I),b,"Ans. (b) :  It is clear from the use of Helping verb 'has' in the above sentence that the sentence is in Prese nt Perfect tense and its structure is as follows  IIISubject has / have V form other words+ + +  Thereafter in place of 'propose', 'proposed' verb 3 will be used in the sentence.  Correct Sentence-   The Public Works Department has proposed  to construct an elevated corridor which will run paral lel to the National highway",The Public Works Department has propose to construct an elevated corridor which will run parallel to the National highway,In the sentence identify the segment which contains the grammatical error.
165,by Suresh not because,but because I had no time,I do not want to go,I declined the lunch offer,SSC CHSL (Tier-I) 26/10/2020 (Shift-II),c,"Ans. (c) :  In the above sentence ' I did not' will be used in place of 'I do not' because It is clear from V2 (Declaimed) that the sentence is in past tense. Hen ce the next clause is also in Past tense so 'did' will  be used in place of 'do'.   Correct sentence-   I declined the lunch offer by Suresh, not because I  did not want to go, but because I had no time.","I declined the lunch offer by Suresh, not because I do not want to go, but because I had no time",In the sentence identify the segment which contains the grammatical error.
166,doesn't like it,we can exchange the dress,Did you know whether,if my sister,SSC CHSL (Tier-I) 17/03/2020 (Shift-I),c,Ans. (c) In the above sentence 'Do you know whether will be used in place of 'Did you know whether' bec ause according to the sense of the sentence it is in pre sent tense. As it is clear from sub-ordinate clause (doe sn't like) Correct Sentence- Do you know  whether we can exchange the dress if my sister doesn't like it?,Did you know whether we can exchange the dress if my sister doesn't like it?,"Select the segment in the sentence, which contains the grammatical error."
167,suddenly developed,as a woman passenger,has to make,a serious breathing problem,SSC CHSL (Tier-I) 16/10/2020 (Shift-I),c,Ans. (c) : In the above sentence 'had to make' will be used in place of 'has to make' because it is clear from the second clause that the sentence is in past tens e.  Correct Sentence-   A Delhi bound aircraft had to make  an emergency landing at Mumbai airport as a woman passenger suddenly developed a serious breathing problem. Spotting Error 33 YCT,A Delhi bound aircraft has to make an emergency landing at Mumbai airport as a woman passenger suddenly developed a serious breathing problem,"In the given sentence, identify the segment which contains the grammatical error."
168,to exact revenge,on his superiors,Samurai jack drawn,his sword to,SSC CHSL (Tier-I) 26/10/2020 (Shift-I),c,"Ans. (c) :  In the above sentence V2 (drew) will be used in place of V3 (drawn) because above sentence is Affirmative sentence of past Indefinite tense and second form of verb is used in it.  Note-  Past Indefinite Negative Interrogative Sentence, helping verb, 'did' and verb first form is used.  Correct Sentence  Samurai jack drew  his sword to exact revenge on his superiors,",Samurai jack drawn his sword to exact revenge on his superiors,In the sentence identify the segment which contains a grammatical error.
169,leading from the front,Often hailed as one of,"the greatest industry leaders from india,",Ratan Tata take across the reins of the company,SSC CHSL (Tier-I) 26/10/2020 (Shift-II),d,"Ans. (d) :  In the above sentence 'took over' will be used in place of 'take across' because according to  the sense of the sentence it is in Past Indefinite tens e. Hence second form of verb (took) will be used.  Correct Sentence  Often hailed as one of the greatest industry leader s of india, Ratan Tata  took over  the reins of the company, leading from the front.","Often hailed as one of the greatest industry leaders of india, Ratan Tata take across the reins of the company, leading from the front",In the sentence identify the segment which contains the grammatical error.
170,"debut feature film, 'Uski Roti,'",begun his career as an actor,a director of short films,before doing his,SSC CHSL (Tier-I) 26/10/2020 (Shift-II),b,"Ans. (b) :  In the above sentence second form of verb 'began' will be used in place of third form of verb  'begun' because the sentence is in past Indefinite tense.   begin began begunIst IInd IIIrd→ → Correct sentence  Mani Kaul began  his career as an actor and a director of short films before doing his debut feature film,  'Uski Roti,","Mani Kaul begun his career as an actor and a director of short films before doing his debut feature film, 'Uski Roti,'",In the sentence identify the segment which contains the grammatical error.
171,may have sleep problems,people with full time sedentary jobs,due to lack of exercise,who commuting long distances,SSC CHSL (Tier-I) 21/10/2020 (Shift-I),d,Ans. (d) :  In the above sentence 'who commute long distance' will be used in place of 'who commuting l ong distances' because here V 1 (commute) is needed in present Indefinite tense.  Since relative pronoun ' who' is used for subject people (plural noun) hence plur al verb (verb 1) without 's/es' is used after 'who'.  Correct Sentence :  People with full time sedentary jobs who commute  long distances  may have sleep problem due to lack of exercise.,"People with full time sedentary job who commuting long distances, may have sleep problems due to lack of exercise",In the sentence identify the segment which contains the grammatical error.
172,was done very well,this year,and is ranked number one now,The Indian cricket team,SSC CHSL (Tier-I) 19/10/2020 (Shift-I),a,"Ans. (a) :  In the above sentence 'has' will be used in place of 'was' because the use of Adverb 'now' make s it clear Present time moment. Hence, present perfect tense is used. Note- was + done (V 3) is used in passive voice. Correct Sentence :  The Indian cricket team has done  very well this year and is ranked number one now.",The Indian cricket team was done very well this year and is ranked number one now,In the given sentences identify the segment which contains a grammatical error.
173,child labour,the country has,to struggled with,the problems of,SSC CHSL (Tier-I) 19/10/2020 (Shift-I),c,Ans. (c) :  In the above sentence 'to struggle' will be used in place of 'to struggled' because first from of verb (VI) is used after 'to'  ( )1 Infinitive To V− +  Correct Sentence :  The country has to struggle  with the problems of child labour.,The country has to struggled with the problems of child labour,"In the given sentence, identify the segment which contains a grammatical error."
174,meaning the right,to express one's own,Freedom of expression,convictions and beliefs,SSC CHSL (Tier-I) 12/10/2020 (Shift-II),a,Ans. (a) :  In the above sentence 'means the right' will be used in place of 'meaning the right' because the  sentence is in Present Indefinite tense. Hence verb 1 will be used. Correct Sentence :  Freedom of expression means  the right to express one's own convictions and beliefs. Spotting Error 34 YCT,Freedom of expression meaning the right to express one's own convictions and beliefs,In the given sentence identify the segment which contains the grammatical error.
175,When she was in,have I ever told you,used to made,what lovely pickles,SSC CHSL (Tier-I) 15/10/2020 (Shift-I),c,Ans. (c) :  In the above sentence 'used to make' will be used in place of 'used to made' because the structu re 'to + VI' is used as an infinitive.  Correct Sentence :  Have I ever told you what lovely pickles my grandmother used to make  when she was in Visakhapatnam?,Have I ever told you what lovely pickles my grandmother used to made when she was in Visakhapatnam?,Identify the segment in the given sentence which contains the grammatical error.
176,Don't worry,I can be able to,climb that tree,to reach the fruit,SSC CHSL (Tier-I) 15/10/2020 (Shift-I),b,"Ans. (b) :  In the above sentence 'I am able to' will be used in place of 'I can be able to' because the use  of able with can is superfluous. Hence 'am able' gives  appropriate meaning according to the sense of the sentence.  Correct Sentence :  Ayan told Sriram, ""Don't worry I am able to climb  that tree to reach the fruit.""","""","Identify the segment in the given sentence which contains the grammatical error Ayan told Sriram, ""Don't worry I can be able to climb that tree to reach the fruit."
177,while being defused,on the banks of the river Ganga,Firecrackers have seized by the government,in a town in West Bengal,SSC CHSL (Tier-I) 21/10/2020 (Shift-III),c,"Ans. (c) :  The above sentence is in passive voice So Firecrackers have been seized by the government is used in place of  'Firecrackers have seized by the government' because the passive voice structure of present perfect tense is as follows :– Object + has/have + been + VIII + by + subject + other .  Correct Sentence :  Firecrackers have been seized  by the government went off while being defused on the banks of the river Ganga, in a town in West Bengal.","Firecrackers have seized by the government went off while being defused on the banks of the river Ganga, in a town in West Bengal",In the sentence identify the segment which contains the grammatical error.
178,was airlifted to Delhi,when he met with an accident,A 12 year old archer,while practice for the Khelo India Games,SSC CHSL (Tier-I) 21/10/2020 (Shift-III),d,Ans. (d) :  In the above sentence 'While practicing for the Khelo India Games' will be  used in place of 'W hile practice for the Khelo India Games' because 'ing' f orm of the verb is generally used with 'while'.  Correct Sentence :  A 12 year old archer was airlifted to Delhi when he  met with an accident while practicing  for the Khelo India Games in Guwahati.,A 12 year old archer was airlifted to Delhi when he met with an accident while practice for the Khelo India Games in Guwahati,In the sentence identify the segment which contains the grammatical error.
179,When Harry,blood everywhere,come back home,he saw,SSC CHSL (Tier-I) 20/10/2020 (Shift-III),c,"Ans. (c) :  In the above sentence 'came back home' will be used in place of  'come back home' because the main clause of sentenc e, simple past, hence the subordinate clause will also  be in simple past. Hence came (V2) will be used instead of come (VI)   Correct Sentence :  When Harry came back  home, he saw blood everywhere.","When Harry come back home, he saw blood everywhere",In the sentence identify the segment which contains the grammatical error.
180,1,2,3,4,SSC MTS 7-10-2017 (Shift-I),c,"Ans. (c) : In the above sentence 'to rationalize' will be used in place of 'to rationalizes' because 'to + VI' is used. Hence Rationalize will be used without s/es.  Correct Sentence :  If revenues remain healthy, the government would, o ver time, get the necessary fiscal room to rationalize  multiple GST rate.","If revenues remain healthy, the (1)/ government would, over time, get the necessary (2)/fiscal room to rationalizes multiple GST rate(3)/No error (4)","In the following question, some part of the sentence may have errors Find out which part of the sentence has an error and select the appropriate option If a sentence is free from error, select 'No Error'"
181,1,2,3,4,SSC MTS 7-10-2017 (Shift-I),a,"Ans. (a) : In the above sentence 'promulgated' will be used in place of 'promulgate' because according to the sense of sentence Past Indefinite tense will be appropriate. Hence verb 2 (V2) will be used.  Correct Sentence :  In July, the government promulgated  a law that enables the banning of political parties. Spotting Error 35 YCT","In July, the government promulgate(1)/a law that enables the banning (2)/of political parties(3)/ No error (4)","In the following question, some part of the sentence may have errors Find out which part of the sentence has an error and select the appropriate option If a sentence is free from error, select 'No Error'"
182,1,2,3,4,SSC MTS 9-10-2017 (Shift-III),a,"Ans: (a) In the above sentence 'which was crawling' will be used in place of 'was crawling' because Pro noun 'which' will be used for subject (Mumbai). because two verb (was, is) are given in the sentence while only  one subject (mumbai) is used. So another suitable subje ct will be used according to the sense of sentence. Correct Sentence - Mumbai, which was crawling at a snail's pace yesterday, is slowly returning to normalcy.",(3) / No Error (4),"In the following question, some of the sentences have been errors Find out which part of the sentence is an error and sefect the appropriate option, If a sentence is free from error, select 'No Error' Mumbai was crawling at a (1) / snail's pace yesterday, is slowly (2) / returning to normalcy."
